Phase,FPS_Inst,Latence_ms,Temp_C,Power_Soft_W,Power_Manual_W
TEST,2.0,501.17,76.9,0,5.57
TEST,2.0,499.55,77.9,0,5.57
TEST,2.0,502.9,77.9,0,5.57
TEST,2.0,500.11,78.4,0,5.57
TEST,2.0,502.19,77.9,0,5.57
TEST,2.0,500.44,77.9,0,5.57
TEST,2.0,500.8,77.9,0,5.57
TEST,2.0,505.65,77.4,0,5.57
TEST,2.0,499.9,78.9,0,5.57
TEST,2.0,500.2,77.4,0,5.57
TEST,2.0,502.26,77.9,0,5.57
TEST,2.0,500.34,78.4,0,5.57
TEST,2.0,502.77,78.4,0,5.57
TEST,2.0,500.56,77.9,0,5.57
TEST,2.0,501.76,77.4,0,5.57
TEST,2.0,500.54,77.4,0,5.57
TEST,2.0,501.53,77.9,0,5.57
TEST,2.0,500.44,76.9,0,5.57
TEST,2.0,501.73,77.9,0,5.57
TEST,2.0,501.27,77.9,0,5.57
TEST,2.0,500.65,78.4,0,5.57
TEST,2.0,500.0,77.4,0,5.57
TEST,2.0,502.31,78.4,0,5.57
TEST,2.0,500.55,77.4,0,5.57
TEST,2.0,502.06,78.4,0,5.57
TEST,2.0,501.3,78.4,0,5.57
TEST,2.0,501.04,78.4,0,5.57
TEST,2.0,500.48,77.4,0,5.57
TEST,2.0,500.64,78.4,0,5.57
TEST,2.0,499.74,78.4,0,5.57
TEST,2.0,501.51,77.9,0,5.57
TEST,2.0,501.6,77.4,0,5.57
TEST,2.0,500.82,78.4,0,5.57
TEST,2.0,500.69,78.4,0,5.57
TEST,2.0,501.65,78.4,0,5.57
TEST,2.0,500.58,78.9,0,5.57
TEST,2.0,501.12,78.4,0,5.57
TEST,2.0,500.78,79.4,0,5.57
TEST,2.0,501.24,78.4,0,5.57
TEST,2.0,501.01,77.9,0,5.57
TEST,2.0,501.6,78.4,0,5.57
TEST,2.0,501.11,78.4,0,5.57
TEST,2.0,501.75,77.9,0,5.57
TEST,2.0,500.6,78.9,0,5.57
TEST,2.0,501.31,79.4,0,5.57
TEST,2.0,500.78,78.9,0,5.57
TEST,2.0,502.17,78.9,0,5.57
TEST,2.0,499.46,77.9,0,5.57
TEST,2.0,500.79,79.4,0,5.57
TEST,2.0,500.21,80.3,0,5.57
TEST,2.0,501.32,77.9,0,5.57
TEST,2.0,501.56,79.4,0,5.57
TEST,2.0,500.95,78.4,0,5.57
TEST,2.0,501.81,78.9,0,5.57
TEST,2.0,502.73,79.4,0,5.57
TEST,2.0,499.95,78.9,0,5.57
TEST,2.0,499.85,79.4,0,5.57
TEST,2.0,499.45,78.4,0,5.57
TEST,2.0,501.39,78.4,0,5.57
TEST,2.0,500.51,79.4,0,5.57
TEST,2.0,500.81,79.4,0,5.57
TEST,2.0,500.99,79.9,0,5.57
TEST,2.0,501.21,78.9,0,5.57
TEST,2.0,500.3,79.4,0,5.57
TEST,2.0,500.93,78.9,0,5.57
TEST,2.0,501.27,79.4,0,5.57
TEST,2.0,501.84,78.9,0,5.57
TEST,2.0,500.1,79.4,0,5.57
TEST,2.0,500.78,79.9,0,5.57
TEST,2.0,500.18,79.4,0,5.57
TEST,2.0,502.01,79.4,0,5.57
TEST,2.0,502.36,79.9,0,5.57
TEST,2.0,500.92,79.4,0,5.57
TEST,2.0,500.81,79.9,0,5.57
TEST,2.0,501.03,79.9,0,5.57
TEST,2.0,500.2,78.9,0,5.57
TEST,2.0,501.47,79.9,0,5.57
TEST,2.0,501.18,79.4,0,5.57
TEST,2.0,501.78,78.9,0,5.57
TEST,2.0,500.0,78.9,0,5.57
TEST,2.0,500.65,79.4,0,5.57
TEST,2.0,500.3,79.9,0,5.57
TEST,2.0,501.77,79.9,0,5.57
TEST,2.0,500.39,79.4,0,5.57
TEST,2.0,501.54,79.9,0,5.57
TEST,2.0,500.79,80.3,0,5.57
TEST,2.0,501.98,79.4,0,5.57
TEST,2.0,500.44,79.4,0,5.57
TEST,2.0,500.57,80.3,0,5.57
TEST,2.0,501.65,79.4,0,5.57
TEST,2.0,501.2,79.9,0,5.57
TEST,2.0,502.45,79.4,0,5.57
TEST,2.0,501.61,80.8,0,5.57
TEST,2.0,500.57,80.8,0,5.57
TEST,2.0,501.42,79.9,0,5.57
TEST,2.0,500.01,79.4,0,5.57
TEST,2.0,501.46,80.3,0,5.57
TEST,2.0,500.15,80.3,0,5.57
TEST,2.0,500.98,80.3,0,5.57
TEST,2.0,500.65,79.4,0,5.57
TEST,2.0,501.68,79.9,0,5.57
TEST,2.0,499.88,80.3,0,5.57
TEST,2.0,501.88,79.9,0,5.57
TEST,2.0,499.73,79.9,0,5.57
TEST,2.0,502.82,80.8,0,5.57
TEST,2.0,500.49,79.9,0,5.57
TEST,2.0,499.84,79.9,0,5.57
TEST,2.0,500.53,80.3,0,5.57
TEST,2.0,500.92,79.9,0,5.57
TEST,2.0,501.5,80.3,0,5.57
TEST,2.0,502.91,80.3,0,5.57
TEST,2.0,500.7,80.8,0,5.57
TEST,2.0,501.41,79.9,0,5.57
TEST,2.0,501.01,80.3,0,5.57
TEST,2.0,501.55,79.9,0,5.57
TEST,2.0,500.87,80.3,0,5.57
TEST,2.0,500.44,79.9,0,5.57
TEST,2.0,500.57,80.8,0,5.57
TEST,2.0,501.34,80.8,0,5.57
TEST,2.0,503.8,80.8,0,5.57
TEST,2.0,500.03,81.3,0,5.57
TEST,2.0,500.79,80.8,0,5.57
TEST,2.0,501.66,79.9,0,5.57
TEST,2.0,499.82,81.3,0,5.57
TEST,2.0,505.46,80.8,0,5.57
TEST,2.0,510.09,81.8,0,5.57
TEST,2.0,501.56,81.3,0,5.57
TEST,2.0,500.03,80.8,0,5.57
TEST,2.0,501.56,79.4,0,5.57
TEST,2.0,499.97,81.3,0,5.57
TEST,2.0,502.33,80.8,0,5.57
TEST,2.0,501.14,81.3,0,5.57
TEST,2.0,500.97,81.8,0,5.57
TEST,2.0,501.05,81.3,0,5.57
TEST,2.0,501.05,79.9,0,5.57
TEST,2.0,501.04,81.3,0,5.57
